# Ultra-dense + color (420544 points)
# Format: x y r g b
#
0.773665 1.060000 0.0000 0.0000 0.0000
0.778157 1.060000 0.0000 0.0000 0.0000
0.782648 1.060000 0.0000 0.0000 0.0000
0.787140 1.060000 0.0000 0.0000 0.0000
0.791631 1.060000 0.0000 0.0000 0.0000
0.796123 1.060000 0.0000 0.0000 0.0000
0.800614 1.060000 0.0000 0.0000 0.0000
0.805106 1.060000 0.0000 0.0000 0.0000
0.809597 1.060000 0.0000 0.0000 0.0000
0.814089 1.060000 0.0000 0.0000 0.0000
0.818581 1.060000 0.0000 0.0000 0.0000
0.823072 1.060000 0.0000 0.0000 0.0000
0.827564 1.060000 0.0000 0.0000 0.0000
0.832055 1.060000 0.0000 0.0000 0.0000
0.836547 1.060000 0.0000 0.0000 0.0000
0.841038 1.060000 0.0000 0.0000 0.0000
0.845530 1.060000 0.0000 0.0000 0.0000
0.850021 1.060000 0.0000 0.0000 0.0000
0.854513 1.060000 0.0000 0.0000 0.0000
0.859004 1.060000 0.0000 0.0000 0.0000
0.863496 1.060000 0.0000 0.0000 0.0000
0.867987 1.060000 0.0000 0.0000 0.0000
0.872479 1.060000 0.0000 0.0000 0.0000
0.876970 1.060000 0.0000 0.0000 0.0000
0.881462 1.060000 0.0000 0.0000 0.0000
0.885953 1.060000 0.0000 0.0000 0.0000
0.890445 1.060000 0.0000 0.0000 0.0000
0.894936 1.060000 0.0000 0.0000 0.0000
0.899428 1.060000 0.0000 0.0000 0.0000
0.903919 1.060000 0.0000 0.0000 0.0000
0.908411 1.060000 0.0000 0.0000 0.0000
0.912903 1.060000 0.0000 0.0000 0.0000
0.917394 1.060000 0.0000 0.0000 0.0000
0.921886 1.060000 0.0000 0.0000 0.0000
0.926377 1.060000 0.0000 0.0000 0.0000
0.930869 1.060000 0.0000 0.0000 0.0000
0.935360 1.060000 0.0000 0.0000 0.0000
0.939852 1.060000 0.0000 0.0000 0.0000
0.944343 1.060000 0.0000 0.0000 0.0000
0.948835 1.060000 0.0000 0.0000 0.0000
0.953326 1.060000 0.0000 0.0000 0.0000
0.957818 1.060000 0.0000 0.0000 0.0000
0.962309 1.060000 0.0000 0.0000 0.0000
0.966801 1.060000 0.0000 0.0000 0.0000
0.971292 1.060000 0.0000 0.0000 0.0000
0.975784 1.060000 0.0000 0.0000 0.0000
0.980275 1.060000 0.0000 0.0000 0.0000
0.984767 1.060000 0.0000 0.0000 0.0000
